strain,rep,days_after_bleach,total,alive,percentage
LRB429,5,13,110,37,0.336363636
IC166,5,13,76,0,0
CF1038,5,13,153,39,0.254901961
N2,5,13,94,81,0.861702128
GR1310,5,14,110,19,0.172727273
GR1318,5,14,60,25,0.416666667
LRB429,5,14,118,32,0.271186441
CF1038,5,14,127,17,0.133858268
N2,5,14,129,87,0.674418605
GR1310,5,16,115,10,0.086956522
GR1318,5,16,40,7,0.175
LRB429,5,16,135,15,0.111111111
CF1038,5,16,103,7,0.067961165
N2,5,16,99,74,0.747474747
GR1310,5,17,109,1,0.009174312
GR1318,5,17,39,7,0.179487179
LRB429,5,17,120,6,0.05
CF1038,5,17,171,4,0.023391813
N2,5,17,108,62,0.574074074
GR1310,5,18,125,1,0.008
GR1318,5,18,21,3,0.142857143
LRB429,5,18,87,0,0
CF1038,5,18,153,0,0
N2,5,18,115,59,0.513043478
GR1310,5,19,129,0,0
GR1318,5,19,46,2,0.043478261
N2,5,19,107,44,0.411214953
GR1318,5,20,54,2,0.037037037
N2,5,20,93,27,0.290322581
GR1318,5,21,17,0,0
N2,5,21,113,35,0.309734513
N2,5,22,111,9,0.081081081
N2,5,23,112,4,0.035714286
N2,5,24,108,2,0.018518519
N2,5,25,115,1,0.008695652
N2,5,26,127,1,0.007874016
N2,5,27,113,0,0
GR1310,6,1,133,123,0.92481203
GR1318,6,1,147,147,1
LRB429,6,1,130,116,0.892307692
IC166,6,1,81,53,0.654320988
CF1038,6,1,92,75,0.815217391
GR1310,6,2,126,111,0.880952381
GR1318,6,2,138,133,0.963768116
LRB429,6,2,94,74,0.787234043
IC166,6,2,66,26,0.393939394
CF1038,6,2,116,79,0.681034483
GR1310,6,4,105,97,0.923809524
LRB429,6,4,128,90,0.703125
IC166,6,4,68,9,0.132352941
GR1310,6,5,106,75,0.70754717
GR1318,6,5,153,137,0.895424837
LRB429,6,5,108,84,0.777777778
IC166,6,5,68,4,0.058823529
CF1038,6,5,125,63,0.504
GR1310,6,6,111,64,0.576576577
GR1318,6,6,152,131,0.861842105
LRB429,6,6,126,67,0.531746032
IC166,6,6,54,3,0.055555556
CF1038,6,6,121,47,0.388429752
GR1310,6,10,116,31,0.267241379
GR1318,6,10,130,112,0.861538462
LRB429,6,10,74,20,0.27027027
IC166,6,10,39,0,0
CF1038,6,10,120,64,0.533333333
GR1310,6,11,132,32,0.242424242
GR1318,6,11,94,78,0.829787234
LRB429,6,11,107,48,0.448598131
CF1038,6,11,115,27,0.234782609
GR1310,6,13,127,21,0.165354331
GR1318,6,13,68,56,0.823529412
LRB429,6,13,34,1,0.029411765
CF1038,6,13,98,27,0.275510204
GR1310,6,14,79,16,0.202531646
GR1318,6,14,83,48,0.578313253
LRB429,6,14,55,0,0
CF1038,6,14,102,21,0.205882353
GR1310,6,15,53,11,0.20754717
GR1318,6,15,57,38,0.666666667
CF1038,6,15,110,23,0.209090909
GR1310,6,16,53,10,0.188679245
GR1318,6,16,26,9,0.346153846
CF1038,6,16,81,7,0.086419753
GR1310,6,17,53,8,0.150943396
GR1318,6,17,41,15,0.365853659
CF1038,6,17,54,3,0.055555556
GR1310,6,18,76,3,0.039473684
GR1318,6,18,43,12,0.279069767
CF1038,6,18,89,0,0
GR1310,6,19,101,0,0
GR1318,6,19,59,12,0.203389831
GR1318,6,20,39,2,0.051282051
GR1318,6,21,48,4,0.083333333
GR1318,6,22,55,3,0.054545455
GR1318,6,23,151,5,0.033112583
GR1318,6,24,144,0,0
