strain,rep,scoring_method,ethanol,days_after_bleach,alive,total,percentage
daf18,4,indirect,plus,8,0,114,0
daf16,4,indirect,plus,1,87,109,0.798165138
daf16,4,indirect,plus,2,57,121,0.47107438
daf16,4,indirect,plus,5,62,189,0.328042328
daf16,4,indirect,plus,6,63,199,0.316582915
daf16,4,indirect,plus,8,6,160,0.0375
daf16,4,indirect,plus,11,0,145,0
n2,4,indirect,plus,1,99,116,0.853448276
n2,4,indirect,plus,5,111,122,0.909836066
n2,4,indirect,plus,11,91,108,0.842592593
n2,4,indirect,plus,13,93,137,0.678832117
n2,4,indirect,plus,15,52,118,0.440677966
n2,4,indirect,plus,18,16,145,0.110344828
n2,4,indirect,plus,20,0,131,0
double,4,direct,minus,1,239,252,0.948412698
double,4,direct,minus,2,109,138,0.789855072
double,4,direct,minus,5,0,120,0
daf18,4,direct,minus,1,130,136,0.955882353
daf18,4,direct,minus,2,75,97,0.773195876
daf18,4,direct,minus,5,0,45,0
daf16,4,direct,minus,1,151,154,0.980519481
daf16,4,direct,minus,2,105,107,0.981308411
daf16,4,direct,minus,5,13,94,0.138297872
daf16,4,direct,minus,6,8,103,0.077669903
daf16,4,direct,minus,8,0,64,0
n2,4,direct,minus,1,124,128,0.96875
n2,4,direct,minus,2,119,125,0.952
n2,4,direct,minus,5,53,81,0.654320988
n2,4,direct,minus,6,28,68,0.411764706
n2,4,direct,minus,8,14,75,0.186666667
n2,4,direct,minus,11,0,80,0
daf18,-1,indirect,plus,1,92,96,0.958333333
daf18,-1,indirect,plus,2,63,110,0.572727273
daf18,-1,indirect,plus,5,9,102,0.088235294
daf18,-1,indirect,plus,6,4,66,0.060606061
daf18,-1,indirect,plus,7,0,105,0
